'	'
.	|
..	||
/A	ā́
/E	aí
/F	ṝ́
/I	ī́
/L	L
/O	aú
/U	ū́
/X	ḹ́
/a	á
/e	é
/f	ṛ́
/i	í
/o	ó
/u	ú
/x	ḷ́
A	ā
B	bh
C	ch
D	dh
E	ai
F	ṝ
G	gh
H	ḥ
I	ī
J	jh
K	kh
L	ḻ
M	ṃ
N	ṅ
O	au
P	ph
Q	ḍh
R	ṇ
S	ś
T	th
U	ū
W	ṭh
X	ḹ
Y	ñ
^A	ā̀
^E	aì
^F	ṝ̀
^I	ī̀
^O	aù
^U	ū̀
^X	ḹ̀
^a	à
^e	è
^f	ṛ̀
^i	ì
^o	ò
^u	ù
^x	ḷ̀
`A	ā̀
`E	aì
`F	ṝ̀
`I	ī̀
`O	aù
`U	ū̀
`X	ḹ̀
`a	à
`e	è
`f	ṛ̀
`i	ì
`o	ò
`u	ù
`x	ḷ̀
a	a
b	b
c	c
d	d
e	e
f	ṛ
g	g
h	h
i	i
j	j
jY	jñ
k	k
kz	kṣ
l	l
m	m
n	n
o	o
p	p
q	ḍ
r	r
s	s
t	t
u	u
v	v
w	ṭ
x	ḷ
y	y
z	ṣ
|	ḷh
~	̃
